fecha,pais,divisa,clics,coste_por_clic_cpc,gasto
2025-06-01,España,EUR,99,0.26,25.5
2025-06-02,España,EUR,103,0.25,25.28
2025-06-03,España,EUR,131,0.19,25.07
2025-06-04,España,EUR,100,0.18,18.1
2025-06-05,España,EUR,44,0.18,8.06
2025-06-06,España,EUR,26,0.2,5.24
2025-06-07,España,EUR,32,0.16,5.26
2025-06-08,España,EUR,33,0.16,5.26
2025-06-09,España,EUR,25,0.21,5.19
2025-06-10,España,EUR,22,0.23,5.17
2025-06-11,España,EUR,30,0.18,5.3
2025-06-12,España,EUR,31,0.18,5.45
2025-06-13,España,EUR,21,0.23,4.78
2025-06-14,España,EUR,24,0.21,5.12
2025-06-15,España,EUR,30,0.19,5.58
2025-06-16,España,EUR,25,0.21,5.26
2025-06-17,España,EUR,20,0.24,4.89
2025-06-18,España,EUR,30,0.17,4.97
2025-06-19,España,EUR,24,0.21,4.93
2025-06-20,España,EUR,34,0.15,5.24
2025-06-21,España,EUR,29,0.16,4.74
2025-06-22,España,EUR,27,0.19,5.24
2025-06-23,España,EUR,17,0.27,4.63
2025-06-24,España,EUR,27,0.18,4.95
2025-06-25,España,EUR,24,0.22,5.39
2025-06-26,España,EUR,20,0.23,4.63
2025-06-27,España,EUR,86,0.23,20.09
2025-06-28,España,EUR,86,0.22,18.82
2025-06-29,España,EUR,94,0.21,19.63
2025-06-30,España,EUR,96,0.18,17.42
